"","year","data","what","model_id","fmodel","qmodel","rmodel","stock"
"215",2009,0.34546325,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"216",2010,0.395277,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"217",2011,0.478469,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"218",2012,0.567012,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"219",2013,0.613077,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"220",2014,0.60495575,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"221",2015,0.52323275,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"222",2016,0.36863975,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"223",2017,0.2313965,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"224",2018,0.1531275,"fbar",2,"fmodel2","qmodel1","rmodel1","stk"
"225",1963,213240.700383594,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"226",1964,215400.541535271,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"227",1965,214550.021819794,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"228",1966,189752.821710198,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"229",1967,143968.118397399,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"230",1968,99279.1925093961,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"231",1969,68137.7995657635,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"232",1970,40615.6378583784,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"233",1971,21157.7073106994,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"234",1972,13337.1546475451,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"235",1973,11194.4375048559,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"236",1974,14309.0803333204,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"237",1975,19753.6358717707,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"238",1976,26185.9636373572,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"239",1977,42179.6660129939,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"240",1978,62252.940131982,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"241",1979,66797.3698698789,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"242",1980,65576.4468077006,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"243",1981,59899.2501534382,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"244",1982,48035.9985285977,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"245",1983,36003.0087359338,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"246",1984,26584.2608171785,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"247",1985,22959.3780969768,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"248",1986,23038.1475049915,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"249",1987,23668.8029681923,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"250",1988,23598.8121805448,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"251",1989,23408.3207881531,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"252",1990,22667.4304904174,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"253",1991,18058.3283112317,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"254",1992,15506.6956151555,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"255",1993,17178.3907257146,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"256",1994,23489.9600449716,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"257",1995,30054.3439393472,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"258",1996,38760.1676949602,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"259",1997,49414.5885000798,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"260",1998,61088.9876456154,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"261",1999,75098.4930998455,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"262",2000,93532.2348338425,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"263",2001,106709.751001854,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"264",2002,112050.456809629,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"265",2003,114680.857205018,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"266",2004,96743.9043833471,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"267",2005,95525.9237239925,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"268",2006,113647.565928146,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"269",2007,102058.550942351,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"270",2008,86264.0732113127,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"271",2009,72524.1086518143,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"272",2010,55265.0843737647,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"273",2011,41738.92458949,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"274",2012,43730.2013538088,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"275",2013,62282.3349298752,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"276",2014,73996.736350369,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"277",2015,78270.8789712826,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"278",2016,103901.935613816,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"279",2017,117433.375023324,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"280",2018,117193.03859631,"ssb",3,"fmodel3","qmodel1","rmodel1","stk"
"281",1963,0.1485345,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"282",1964,0.17366075,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"283",1965,0.2084805,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"284",1966,0.26216025,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"285",1967,0.3442505,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"286",1968,0.45632425,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"287",1969,0.57624975,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"288",1970,0.65070125,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"289",1971,0.628041,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"290",1972,0.5144345,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"291",1973,0.37181075,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"292",1974,0.256213,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"293",1975,0.1849765,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"294",1976,0.15191025,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"295",1977,0.1482975,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"296",1978,0.17068425,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"297",1979,0.21880475,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"298",1980,0.2868505,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"299",1981,0.35361425,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"300",1982,0.38841425,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"301",1983,0.37758875,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"302",1984,0.3379225,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"303",1985,0.29778475,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"304",1986,0.27620975,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"305",1987,0.2803045,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"306",1988,0.30966675,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"307",1989,0.35542275,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"308",1990,0.39531325,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"309",1991,0.3993905,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"310",1992,0.35433775,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"311",1993,0.27901975,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"312",1994,0.2053275,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"313",1995,0.15196125,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"314",1996,0.121147,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"315",1997,0.10834,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"316",1998,0.10879975,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"317",1999,0.118618,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"318",2000,0.13338675,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"319",2001,0.147732,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"320",2002,0.15743125,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"321",2003,0.16228925,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"322",2004,0.16615325,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
"323",2005,0.1741105,"fbar",3,"fmodel3","qmodel1","rmodel1","stk"
